,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
0,2016,1,AA,American Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11956.0,1534.0,507.33,39.83,452.65,4.72,529.47,201.0,9.0,106950.0,50027.0,2842.0,13913.0,167.0,40001.0
1,2016,1,AA,American Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",588.0,98.0,34.71,4.71,19.77,0.32,38.49,13.0,2.0,5170.0,1754.0,312.0,655.0,16.0,2433.0
2,2016,1,AA,American Airlines Inc.,SEA,"Seattle, WA: Seattle/Tacoma International",607.0,92.0,35.52,5.4,23.55,0.0,27.52,12.0,2.0,4485.0,1857.0,198.0,715.0,0.0,1715.0
3,2016,1,AA,American Airlines Inc.,JFK,"New York, NY: John F. Kennedy International",1595.0,335.0,117.0,10.26,117.66,0.83,89.25,137.0,6.0,23698.0,9681.0,1592.0,4371.0,18.0,8036.0
4,2016,1,AA,American Airlines Inc.,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",327.0,59.0,23.67,1.47,14.5,0.06,19.29,0.0,0.0,2276.0,985.0,94.0,373.0,5.0,819.0
5,2016,1,AA,American Airlines Inc.,ORD,"Chicago, IL: Chicago O'Hare International",4664.0,607.0,198.83,16.75,234.62,0.99,155.81,98.0,2.0,33906.0,12889.0,1357.0,9182.0,242.0,10236.0
6,2016,1,AA,American Airlines Inc.,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",4993.0,617.0,225.25,10.24,227.08,0.12,154.31,86.0,3.0,31060.0,14884.0,1003.0,6267.0,5.0,8901.0
7,2016,1,AA,American Airlines Inc.,STL,"St. Louis, MO: St Louis Lambert International",661.0,109.0,50.08,7.39,15.91,0.0,35.61,8.0,1.0,6142.0,2707.0,394.0,490.0,0.0,2551.0
8,2016,1,AA,American Airlines Inc.,LAX,"Los Angeles, CA: Los Angeles International",3192.0,611.0,231.06,17.86,191.95,1.29,168.84,74.0,2.0,37701.0,17618.0,1351.0,6832.0,36.0,11864.0
9,2016,1,AA,American Airlines Inc.,MCO,"Orlando, FL: Orlando International",1639.0,409.0,143.71,13.08,158.4,1.09,92.72,55.0,2.0,19038.0,8099.0,676.0,4865.0,35.0,5363.0
10,2016,1,AA,American Airlines Inc.,DEN,"Denver, CO: Denver International",818.0,139.0,60.69,3.57,28.3,0.18,46.26,14.0,0.0,7423.0,3531.0,213.0,816.0,3.0,2860.0
11,2016,1,AA,American Airlines Inc.,MIA,"Miami, FL: Miami International",4628.0,1222.0,335.41,31.03,602.39,7.77,245.41,135.0,42.0,74959.0,28660.0,3960.0,21886.0,307.0,20146.0
12,2016,1,AA,American Airlines Inc.,KOA,"Kona, HI: Kona International Airport at Keahole",70.0,30.0,10.41,1.0,16.82,0.0,1.78,0.0,0.0,1603.0,809.0,35.0,537.0,0.0,222.0
13,2016,1,AA,American Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",662.0,120.0,50.15,3.17,35.9,0.63,30.16,12.0,2.0,5967.0,2566.0,126.0,1290.0,82.0,1903.0
14,2016,1,AA,American Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",751.0,90.0,41.91,2.4,12.31,0.0,33.38,10.0,1.0,4800.0,2289.0,140.0,479.0,0.0,1892.0
15,2016,1,AA,American Airlines Inc.,LAS,"Las Vegas, NV: McCarran International",1293.0,221.0,70.68,5.31,74.25,0.05,70.71,31.0,3.0,13526.0,4263.0,434.0,4137.0,1.0,4691.0
16,2016,1,AA,American Airlines Inc.,SLC,"Salt Lake City, UT: Salt Lake City International",408.0,60.0,23.04,1.21,11.67,0.0,24.08,4.0,1.0,2783.0,1181.0,73.0,339.0,0.0,1190.0
17,2016,1,AA,American Airlines Inc.,TUS,"Tucson, AZ: Tucson International",271.0,24.0,10.82,0.43,2.25,0.0,10.49,1.0,1.0,1141.0,457.0,23.0,100.0,0.0,561.0
18,2016,1,AA,American Airlines Inc.,STT,"Charlotte Amalie, VI: Cyril E King",168.0,33.0,11.69,1.76,15.79,0.0,3.76,7.0,0.0,2548.0,1459.0,154.0,448.0,0.0,487.0
19,2016,1,AA,American Airlines Inc.,BOS,"Boston, MA: Logan International",2236.0,336.0,126.44,16.08,96.03,0.0,97.45,97.0,1.0,16876.0,7490.0,821.0,3235.0,0.0,5330.0
20,2016,1,AA,American Airlines Inc.,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",819.0,157.0,54.01,4.72,59.92,0.0,38.36,32.0,2.0,7056.0,2956.0,270.0,1870.0,0.0,1960.0
21,2016,1,AA,American Airlines Inc.,SFO,"San Francisco, CA: San Francisco International",1270.0,376.0,73.87,10.43,238.24,0.8,52.67,34.0,0.0,21952.0,4180.0,877.0,13054.0,49.0,3792.0
22,2016,1,AA,American Airlines Inc.,OGG,"Kahului, HI: Kahului Airport",138.0,71.0,20.68,0.0,46.97,0.39,2.96,0.0,1.0,3780.0,1639.0,0.0,1746.0,20.0,375.0
23,2016,1,AA,American Airlines Inc.,TPA,"Tampa, FL: Tampa International",1028.0,208.0,83.25,4.82,61.87,0.94,57.12,34.0,1.0,10652.0,4904.0,268.0,1897.0,16.0,3567.0
24,2016,1,AA,American Airlines Inc.,SNA,"Santa Ana, CA: John Wayne Airport-Orange County",467.0,51.0,22.42,3.2,8.46,0.0,16.92,1.0,0.0,1763.0,735.0,94.0,203.0,0.0,731.0
25,2016,1,AA,American Airlines Inc.,OKC,"Oklahoma City, OK: Will Rogers World",153.0,15.0,7.09,0.0,0.39,0.0,7.52,0.0,0.0,571.0,251.0,0.0,17.0,0.0,303.0
26,2016,1,AA,American Airlines Inc.,HNL,"Honolulu, HI: Daniel K Inouye International",221.0,108.0,38.45,1.02,55.09,0.74,12.7,0.0,1.0,6328.0,2913.0,59.0,2002.0,21.0,1333.0
27,2016,1,AA,American Airlines Inc.,PHL,"Philadelphia, PA: Philadelphia International",3508.0,495.0,186.34,13.97,132.54,0.18,161.96,225.0,2.0,30141.0,12169.0,2339.0,4686.0,7.0,10940.0
28,2016,1,AA,American Airlines Inc.,LGA,"New York, NY: LaGuardia",2136.0,430.0,126.8,16.41,163.8,0.13,122.87,176.0,3.0,21966.0,6787.0,1367.0,6893.0,2.0,6917.0
29,2016,1,AA,American Airlines Inc.,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",631.0,108.0,59.52,2.89,18.04,0.0,27.54,37.0,0.0,5710.0,2861.0,254.0,562.0,0.0,2033.0
30,2016,1,AA,American Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",2524.0,426.0,137.76,14.21,160.23,1.29,112.51,249.0,4.0,17905.0,5904.0,837.0,4957.0,68.0,6139.0
31,2016,1,AA,American Airlines Inc.,RIC,"Richmond, VA: Richmond International",182.0,25.0,10.99,0.0,6.3,0.0,7.7,18.0,0.0,1050.0,515.0,0.0,178.0,0.0,357.0
32,2016,1,AA,American Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",833.0,138.0,65.61,5.94,31.79,0.0,34.67,21.0,0.0,7025.0,3799.0,322.0,847.0,0.0,2057.0
33,2016,1,AA,American Airlines Inc.,LBB,"Lubbock, TX: Lubbock Preston Smith International",26.0,4.0,0.74,0.0,0.0,0.0,3.26,0.0,0.0,161.0,33.0,0.0,0.0,0.0,128.0
34,2016,1,AA,American Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",8130.0,1099.0,311.66,48.46,398.66,5.11,335.11,548.0,7.0,59807.0,20284.0,9608.0,12127.0,115.0,17673.0
35,2016,1,AA,American Airlines Inc.,ELP,"El Paso, TX: El Paso International",127.0,15.0,10.95,0.0,0.33,0.0,3.73,1.0,0.0,658.0,475.0,0.0,16.0,0.0,167.0
36,2016,1,AA,American Airlines Inc.,SAN,"San Diego, CA: San Diego International",718.0,112.0,58.8,3.47,17.06,0.46,32.21,9.0,1.0,5859.0,3124.0,277.0,522.0,23.0,1913.0
37,2016,1,AA,American Airlines Inc.,BNA,"Nashville, TN: Nashville International",432.0,71.0,39.54,0.0,14.67,0.11,16.68,17.0,1.0,2864.0,1805.0,0.0,404.0,2.0,653.0
38,2016,1,AA,American Airlines Inc.,JAC,"Jackson, WY: Jackson Hole",78.0,14.0,7.6,0.55,0.31,0.0,5.54,1.0,0.0,832.0,401.0,35.0,8.0,0.0,388.0
39,2016,1,AA,American Airlines Inc.,SMF,"Sacramento, CA: Sacramento International",271.0,40.0,15.65,0.84,9.78,0.0,13.73,1.0,0.0,1532.0,737.0,53.0,220.0,0.0,522.0
40,2016,1,AA,American Airlines Inc.,EWR,"Newark, NJ: Newark Liberty International",675.0,126.0,47.13,4.0,45.28,0.33,29.25,60.0,2.0,6504.0,2742.0,132.0,1473.0,11.0,2146.0
41,2016,1,AA,American Airlines Inc.,IAD,"Washington, DC: Washington Dulles International",216.0,45.0,16.86,1.62,12.56,0.0,13.96,22.0,2.0,2039.0,917.0,68.0,450.0,0.0,604.0
42,2016,1,AA,American Airlines Inc.,LIH,"Lihue, HI: Lihue Airport",75.0,38.0,9.14,0.06,25.2,0.04,3.56,0.0,0.0,1574.0,524.0,1.0,817.0,1.0,231.0
43,2016,1,AA,American Airlines Inc.,SJU,"San Juan, PR: Luis Munoz Marin International",585.0,152.0,65.35,7.48,46.03,0.0,33.14,16.0,1.0,8684.0,4853.0,475.0,1491.0,0.0,1865.0
44,2016,1,AA,American Airlines Inc.,ABQ,"Albuquerque, NM: Albuquerque International Sunport",148.0,25.0,14.55,1.0,3.8,0.0,5.66,1.0,0.0,934.0,601.0,48.0,84.0,0.0,201.0
45,2016,1,AA,American Airlines Inc.,ORF,"Norfolk, VA: Norfolk International",160.0,24.0,10.08,0.94,6.87,0.0,6.1,8.0,0.0,1033.0,470.0,33.0,169.0,0.0,361.0
46,2016,1,AA,American Airlines Inc.,JAX,"Jacksonville, FL: Jacksonville International",328.0,43.0,23.61,0.32,9.43,0.0,9.64,12.0,0.0,2219.0,1356.0,38.0,301.0,0.0,524.0
47,2016,1,AA,American Airlines Inc.,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",429.0,82.0,39.85,0.46,19.67,0.0,22.02,8.0,3.0,3689.0,1949.0,52.0,587.0,0.0,1101.0
48,2016,1,AA,American Airlines Inc.,SAT,"San Antonio, TX: San Antonio International",478.0,52.0,25.85,0.9,6.09,0.0,19.15,4.0,0.0,2765.0,1390.0,47.0,276.0,0.0,1052.0
